KEGG_Pathway	CTU_ABQ_Rm_LE	CTU_ABR_Rm_LE	CTU_ABX_Rm_LE	CTU_ABZ_Rp_LE	CTU_ACA_Rp_LE	CTU_ACB_Rp_LE	CTU_ACC_Rp_LE	CTU_ACE_Rp_LE	CTU_ACG_Rp_LE	AL_Rm_LE	AM_Rm_LE	AN_Rm_LE	AS_Rp_LE	AT_Rp_LE	AU_Rp_LE	AV_Rp_LE	AW_Rp_LE	BK_Rm_LE	BL_Rm_LE	BM_Rm_LE	BN_Rm_LE	BO_Rm_LE	BP_Rm_LE	BQ_Rm_LE	BRZ_GK_Rm_Control	BRZ_GL_Rp_Control	BRZ_GN_Rm_Control	BRZ_GP_Rp_Control	BRZ_GS_Rm_Control	BRZ_GT_Rp_Control	BRZ_HA_Rm_Control	BRZ_HB_Rp_Control	BRZ_HE_Rm_Control	BRZ_HF_Rp_Control	BRZ_HI_Rm_Control	BRZ_HK_Rp_Control	BRZ_HN_Rm_Control	BRZ_HP_Rp_Control	BRZ_HS_Rm_Control	BRZ_HT_Rp_Control	BRZ_IB_Rm_Control	BRZ_IC_Rp_Control	BRZ_IF_Rm_Control	BRZ_IG_Rp_Control	BX_Rp_LE	BY_Rp_LE	BZ_Rp_LE	sum
ko04510	92	102	84	259	199	195	83	52	231	88	134	124	455	204	234	341	131	146	123	99	121	448	193	245	284	1277	546	593	434	263	220	585	289	293	395	1742	227	418	316	787	835	973	344	343	145	153	172	16017
ko04512	79	96	78	150	196	168	83	46	231	85	129	110	451	185	232	240	129	131	107	95	119	429	192	208	277	1277	546	593	430	263	216	585	289	293	395	1742	223	418	311	787	833	973	343	343	124	150	150	15530
ko04530	9	10	13	12	4	14	5	8	2	49	43	34	18	40	7	34	9	73	83	19	45	19	52	75	168	112	49	5	12	127	111	10	8	41	13	18	10	8	45	10	19	24	28	2	20	37	39	1593
ko04540	5	0	0	0	0	0	0	0	0	3	1	12	0	0	0	0	0	19	3	2	2	3	9	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	60
ko04550	4	2	11	4	31	13	5	4	15	15	23	10	43	34	19	5	9	16	56	29	26	15	17	30	32	38	84	31	82	35	70	19	31	37	51	194	12	37	31	66	100	159	70	26	10	8	11	1670
ko04611	29	26	33	38	39	43	33	17	46	13	47	33	34	17	40	17	49	40	21	30	14	53	64	82	100	133	81	364	158	114	107	247	51	57	153	488	49	161	65	187	387	451	85	211	43	31	23	4604
ko04612	16066	13499	16984	17082	9874	14400	14076	10597	13977	15796	17904	16999	15951	14067	15250	19304	18151	21601	14969	13378	16790	16194	17765	19424	24232	46225	32764	32370	51823	29342	35366	36632	26883	34230	46759	61904	27893	53410	51512	62239	58802	62814	35744	25858	13645	21073	18721	1270339
ko04614	6444	2698	4400	4078	3204	3504	3959	3293	6399	1633	3359	3769	3046	2001	3381	3059	2311	3519	3138	1542	3963	3199	3360	4399	6502	7511	7663	7488	10593	4294	7672	8172	3442	6150	8793	5675	4320	9369	10789	9155	10308	15785	5481	5565	2095	2076	3773	246329
ko04620	1	1	1	0	0	0	0	0	0	1	0	5	0	0	0	0	0	1	2	1	0	1	8	4	0	0	0	1	1	1	1	1	0	1	0	36	1	1	0	3	2	4	0	1	0	0	0	80
ko04621	26197	22689	26121	28892	17101	24082	24491	17990	22981	25704	28085	29113	27095	23782	24889	32983	29962	34205	24956	24605	28148	25218	28647	31015	41177	73195	59554	54564	82093	52174	57141	59202	44453	57189	77506	101869	46471	88782	81910	101282	92055	104280	59013	44664	22278	36724	29846	2096373
